time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-01-30T11:43:44.290Z,19.3974991,-155.2709961,0.34,1.73,md,23,66,0.003277,0.36,hv,hv71358807,2020-01-30T11:46:53.970Z,"5km SW of Volcano, Hawaii",earthquake,0.3,0.31,0.46,7,automatic,hv,hv
2020-01-30T11:29:09.640Z,18.9935,-67.8051,15,3.32,md,10,320,0.6908,0.75,pr,pr2020030007,2020-01-30T12:45:40.481Z,"77km NE of Punta Cana, Dominican Republic",earthquake,4.22,31.61,0.35,6,reviewed,pr,pr
2020-01-30T11:27:10.640Z,19.4106674,-155.2731628,3.97,1.97,md,29,40,0.01245,0.21,hv,hv71358797,2020-01-30T11:32:46.940Z,"4km WSW of Volcano, Hawaii",earthquake,0.39,0.44,0.2,15,automatic,hv,hv
2020-01-30T11:21:38.370Z,36.677166,-121.2945023,1.09,1.84,md,18,140,0.03994,0.08,nc,nc73333691,2020-01-30T11:37:03.409Z,"13km S of Tres Pinos, CA",earthquake,0.34,1.61,0.3,19,automatic,nc,nc
2020-01-30T11:21:37.234Z,35.2254,27.8103,10,5.8,mww,,37,0.62,1.38,us,us60007jzj,2020-01-30T13:23:56.907Z,"62km ESE of Karpathos, Greece",earthquake,5.3,1.8,0.063,24,reviewed,us,us
2020-01-30T11:06:12.140Z,35.8566667,-117.7008333,3.59,2.31,ml,30,49,0.0708,0.2,ci,ci39286640,2020-01-30T11:17:29.710Z,"21km ESE of Little Lake, CA",earthquake,0.25,0.75,0.159,25,automatic,ci,ci
2020-01-30T11:01:03.400Z,33.6541667,-116.7118333,14.01,0.41,ml,17,91,0.05689,0.16,ci,ci39286632,2020-01-30T11:04:50.842Z,"10km S of Idyllwild, CA",earthquake,0.42,0.62,0.126,10,automatic,ci,ci
2020-01-30T10:56:28.050Z,35.8603333,-117.669,11.17,0.78,ml,11,91,0.07317,0.19,ci,ci39286624,2020-01-30T11:00:03.388Z,"23km ESE of Little Lake, CA",earthquake,0.52,1.09,0.096,10,automatic,ci,ci
2020-01-30T10:56:19.080Z,38.8161659,-122.9134979,6.31,0.6,md,12,187,0.01211,0.02,nc,nc73333676,2020-01-30T11:12:03.276Z,"9km E of Cloverdale, CA",earthquake,1.01,1.9,0.01,3,automatic,nc,nc
2020-01-30T10:55:10.863Z,66.4673,-143.4539,0,3.1,ml,,,,1.11,ak,ak0201dsek50,2020-01-30T11:08:35.229Z,"76km NNE of Circle, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-30T10:53:48.050Z,35.7118333,-117.4986667,1.37,1.24,ml,14,105,0.1285,0.19,ci,ci39286616,2020-01-30T10:57:32.319Z,"11km SW of Searles Valley, CA",earthquake,0.35,0.68,0.179,15,automatic,ci,ci
2020-01-30T10:45:02.278Z,35.08873749,-96.3240509,3.732762575,1.75,ml,12,192.3443222,0.2600856423,0.1564082831,ok,ok2020cbuw,2020-01-30T10:47:46.726Z,"6km E of Holdenville, Oklahoma",earthquake,5.280919058,2.996872422,,10,automatic,ok,ok
2020-01-30T10:41:52.553Z,59.9125,-152.6377,82.9,2.2,ml,,,,0.39,ak,ak0201dsbnag,2020-01-30T10:55:00.224Z,"47km WNW of Anchor Point, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-30T10:29:24.980Z,17.9683,-66.7878,9,3.13,md,11,199,0.0916,0.14,pr,pr2020030006,2020-01-30T11:18:06.280Z,"4km SE of Indios, Puerto Rico",earthquake,0.78,0.7,0.26,3,reviewed,pr,pr
2020-01-30T10:28:12.320Z,35.6828333,-117.5208333,1.86,0.86,ml,12,154,0.1073,0.09,ci,ci39286608,2020-01-30T10:31:45.048Z,"14km SW of Searles Valley, CA",earthquake,0.28,0.4,0.133,8,automatic,ci,ci
2020-01-30T10:20:06.900Z,17.9176,-66.8856,9,3.19,md,11,219,0.0579,0.12,pr,pr2020030005,2020-01-30T12:06:43.905Z,"6km SSE of Guanica, Puerto Rico",earthquake,0.82,0.47,0.24,6,reviewed,pr,pr
2020-01-30T10:16:01.128Z,62.4944,-151.1897,85.7,1.6,ml,,,,0.38,ak,ak0201ds66hb,2020-01-30T10:25:08.756Z,"58km WNW of Talkeetna, Alaska",earthquake,,1,,,automatic,ak,ak
2020-01-30T09:57:59.040Z,38.8320007,-122.8188324,1.5,0.56,md,13,65,0.01098,0.02,nc,nc73333666,2020-01-30T10:06:01.884Z,"8km NW of The Geysers, CA",earthquake,0.24,0.7,,1,automatic,nc,nc
2020-01-30T09:52:40.880Z,17.9073,-66.7416,7,2.73,md,9,229,0.1534,0.19,pr,pr2020030004,2020-01-30T10:37:00.728Z,"10km SSW of Tallaboa, Puerto Rico",earthquake,1.46,1.73,0.36,5,reviewed,pr,pr
2020-01-30T09:40:32.480Z,35.09314728,-95.38600922,1.288853884,1.76,ml,5,286.6354523,0.1283120513,0.1766800558,ok,ok2020cbst,2020-01-30T09:43:54.456Z,"3km SSW of Quinton, Oklahoma",earthquake,13.37209206,5.808053566,,5,automatic,ok,ok
2020-01-30T09:37:16.110Z,19.5726662,-155.0460052,4.98,1.76,md,12,243,0.1436,0.15,hv,hv71358687,2020-01-30T09:40:17.920Z,"3km WNW of Orchidlands Estates, Hawaii",earthquake,1.11,14.96,0.02,4,automatic,hv,hv
2020-01-30T09:35:50.520Z,33.7303333,-116.7731667,16.37,0.48,ml,13,167,0.05077,0.08,ci,ci39286600,2020-01-30T09:39:22.246Z,"5km WSW of Idyllwild, CA",earthquake,0.41,0.42,0.131,6,automatic,ci,ci
2020-01-30T09:25:46.960Z,38.8310013,-122.8118362,2.21,0.58,md,7,86,0.007719,0,nc,nc73333656,2020-01-30T09:38:02.677Z,"8km NW of The Geysers, CA",earthquake,0.73,2.93,0.02,2,automatic,nc,nc
2020-01-30T09:25:25.080Z,36.0651667,-117.422,0.03,0.94,ml,9,162,0.1947,0.29,ci,ci39286592,2020-01-30T09:29:17.751Z,"33km N of Searles Valley, CA",earthquake,1.46,31.61,0.197,6,automatic,ci,ci
2020-01-30T09:23:55.440Z,38.831501,-122.8188324,1.75,1.7,md,29,50,0.0106,0.03,nc,nc73333651,2020-01-30T12:33:04.711Z,"8km NW of The Geysers, CA",earthquake,0.17,0.34,0.19,7,automatic,nc,nc
2020-01-30T09:20:47.510Z,35.7486667,-117.5783333,7.53,1.52,ml,26,82,0.06872,0.16,ci,ci39286584,2020-01-30T09:32:03.300Z,"16km W of Searles Valley, CA",earthquake,0.25,0.78,0.149,26,automatic,ci,ci
2020-01-30T09:13:22.895Z,36.32500458,-96.96855164,3.008638382,1.63,ml,33,34.98086548,0.07644407451,0.3392350405,ok,ok2020cbrv,2020-01-30T09:16:35.342Z,"14km W of Pawnee, Oklahoma",earthquake,2.117919806,1.556872676,,25,automatic,ok,ok
2020-01-30T09:06:27.520Z,19.1860008,-155.4161682,32.46,2.08,md,41,168,0.05303,0.14,hv,hv71358642,2020-01-30T09:09:42.260Z,"7km ESE of Pahala, Hawaii",earthquake,0.73,0.93,0.08,8,automatic,hv,hv
2020-01-30T09:04:58.180Z,35.8675,-117.6875,4.03,0.77,ml,16,80,0.0857,0.18,ci,ci39286576,2020-01-30T09:08:31.015Z,"21km ESE of Little Lake, CA",earthquake,0.33,1.1,0.073,9,automatic,ci,ci
2020-01-30T09:03:49.400Z,19.1930008,-155.4170074,33.03,1.96,md,52,165,0.04795,0.11,hv,hv71358637,2020-01-30T09:07:13.660Z,"6km ESE of Pahala, Hawaii",earthquake,0.53,0.76,0.1,13,automatic,hv,hv
2020-01-30T08:52:08.570Z,33.227,-116.3551667,11.01,1.34,ml,49,70,0.06624,0.26,ci,ci39286568,2020-01-30T09:02:54.680Z,"4km SSE of Borrego Springs, CA",earthquake,0.32,0.57,0.136,27,automatic,ci,ci
2020-01-30T08:51:19.910Z,38.8056679,-122.8276672,3.85,0.56,md,7,135,0.003406,0.01,nc,nc73333641,2020-01-30T09:31:03.608Z,"7km WNW of The Geysers, CA",earthquake,0.72,1.95,,1,automatic,nc,nc
2020-01-30T08:51:13.990Z,33.8356667,-116.7455,15.31,1.08,ml,43,30,0.04322,0.15,ci,ci39286560,2020-01-30T09:01:50.270Z,"10km SSE of Cabazon, CA",earthquake,0.22,0.39,0.257,27,automatic,ci,ci
2020-01-30T08:23:47.014Z,19.044,-80.9679,10,4,mb,,112,3.355,1.19,us,us60007jx3,2020-01-30T12:28:49.264Z,"32km SSE of East End, Cayman Islands",earthquake,5.2,2,0.212,6,reviewed,us,us
2020-01-30T08:23:26.850Z,38.840168,-122.8125,2.86,0.57,md,7,95,0.01677,0.01,nc,nc73333616,2020-01-30T08:58:05.679Z,"8km WNW of Cobb, CA",earthquake,0.58,2.01,,1,automatic,nc,nc
2020-01-30T08:20:03.330Z,38.8088341,-122.8310013,2.51,0.57,md,8,107,0.001425,0.02,nc,nc73333611,2020-01-30T08:35:02.864Z,"7km WNW of The Geysers, CA",earthquake,0.66,1.55,0.01,2,automatic,nc,nc
2020-01-30T07:59:58.740Z,38.8011665,-122.8136673,3.11,1.24,md,25,72,0.01435,0.02,nc,nc73333601,2020-01-30T10:06:02.883Z,"6km WNW of The Geysers, CA",earthquake,0.24,0.45,0.09,5,automatic,nc,nc
2020-01-30T07:49:04.492Z,61.0663,-151.1458,61.9,1.7,ml,,,,0.31,ak,ak0201dqkygo,2020-01-30T07:52:05.698Z,"42km N of Nikiski, Alaska",earthquake,,4,,,automatic,ak,ak
2020-01-30T07:45:10.778Z,63.2323,-151.3895,10.4,2,ml,,,,0.67,ak,ak0201dqk43s,2020-01-30T07:50:13.512Z,"120km NNW of Talkeetna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-30T07:44:09.910Z,35.0588333,-118.3125,0.26,1.06,ml,17,74,0.07213,0.2,ci,ci39286552,2020-01-30T07:47:52.548Z,"13km W of Mojave, CA",earthquake,0.41,31.61,0.225,19,automatic,ci,ci
2020-01-30T07:39:16.099Z,61.8014,-149.6215,39.2,1.9,ml,,,,0.56,ak,ak0201dqiu6f,2020-01-30T07:42:49.982Z,"19km N of Meadow Lakes, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-01-30T07:38:13.258Z,38.9638,94.7008,14.86,4.7,mb,,69,11.975,0.61,us,us60007jvs,2020-01-30T08:00:15.040Z,"135km NNW of Da Qaidam Hu, China",earthquake,9.4,4.8,0.07,62,reviewed,us,us
2020-01-30T07:33:33.360Z,36.5084991,-120.8059998,2.66,2.07,md,6,210,0.1546,0.02,nc,nc73333596,2020-01-30T09:41:03.697Z,"16km NW of New Idria, CA",earthquake,0.72,2.2,0.21,9,automatic,nc,nc
2020-01-30T07:17:20.670Z,35.8445,-117.7031667,9.89,0.63,ml,10,127,0.06166,0.09,ci,ci39286536,2020-01-30T07:21:06.356Z,"21km ESE of Little Lake, CA",earthquake,0.29,0.67,0.173,7,automatic,ci,ci
2020-01-30T07:09:01.382Z,16.7323,-100.0323,10,4.3,mb,,213,1.626,1.29,us,us60007jv9,2020-01-30T07:31:06.040Z,"20km SW of Acapulco de Juarez, Mexico",earthquake,10.5,2,0.038,194,reviewed,us,us
2020-01-30T06:58:52.630Z,35.0573333,-118.3191667,0.75,2.67,ml,55,35,0.06907,0.19,ci,ci39286528,2020-01-30T12:15:19.062Z,"13km W of Mojave, CA",earthquake,0.21,0.64,0.234,26,automatic,ci,ci
2020-01-30T06:52:43.380Z,18.7885,-64.5858,29,3.47,md,11,339,1.4188,0.39,pr,pr2020030003,2020-01-30T12:36:00.417Z,"52km N of Road Town, British Virgin Islands",earthquake,4.55,27.22,0.34,10,reviewed,pr,pr
2020-01-30T06:47:24.049Z,17.0033,-99.944,16.96,5.1,mww,,169,1.428,0.95,us,us60007juk,2020-01-30T13:34:39.885Z,"6km NNE of Bajos del Ejido, Mexico",earthquake,9.4,5.6,0.08,15,reviewed,us,us
2020-01-30T06:47:06.780Z,35.8085,-117.6226667,7.45,0.64,ml,13,75,0.02169,0.13,ci,ci39286520,2020-01-30T06:50:53.024Z,"20km WNW of Searles Valley, CA",earthquake,0.29,0.5,0.062,8,automatic,ci,ci
2020-01-30T06:33:44.180Z,6.8025,-72.9836,159.86,4.6,mb,,54,2.356,1.28,us,us60007jud,2020-01-30T06:53:19.040Z,"12km NNE of Aratoca, Colombia",earthquake,7.9,6.8,0.062,78,reviewed,us,us
2020-01-30T06:33:18.840Z,18.9975,-67.85,11,3.21,md,12,322,0.7165,0.55,pr,pr2020030002,2020-01-30T07:59:40.608Z,"69km NW of San Antonio, Puerto Rico",earthquake,21.71,30.44,0.39,8,reviewed,pr,pr
2020-01-30T06:26:02.410Z,35.3665,-118.5518333,3.12,1.66,ml,25,44,0.1308,0.18,ci,ci39286512,2020-01-30T06:37:15.060Z,"25km SSW of Bodfish, CA",earthquake,0.27,1.28,0.172,28,automatic,ci,ci
2020-01-30T06:23:24.890Z,38.8341675,-122.7955017,2.19,0.56,md,13,79,0.005845,0.02,nc,nc73333571,2020-01-30T06:39:04.385Z,"6km WNW of Cobb, CA",earthquake,0.26,0.79,,1,automatic,nc,nc
2020-01-30T06:19:11.690Z,19.1911659,-155.4463348,34.23,1.83,md,46,159,0.06522,0.11,hv,hv71358432,2020-01-30T06:22:29.130Z,"3km ESE of Pahala, Hawaii",earthquake,0.64,0.87,0.21,7,automatic,hv,hv
2020-01-30T06:14:03.530Z,19.2115002,-155.4181671,32.39,1.97,md,47,148,0.03241,0.12,hv,hv71358427,2020-01-30T06:17:14.500Z,"6km E of Pahala, Hawaii",earthquake,0.58,0.67,0.16,8,automatic,hv,hv
2020-01-30T06:11:30.610Z,19.2071667,-155.4156647,32.42,1.87,md,46,154,0.03472,0.12,hv,hv71358422,2020-01-30T06:14:33.590Z,"6km E of Pahala, Hawaii",earthquake,0.5,0.68,0.25,5,automatic,hv,hv
2020-01-30T06:10:17.489Z,50.9654,-179.8901,22.18,4.6,mb,,206,0.655,0.99,us,us60007jtu,2020-01-30T06:29:40.040Z,"63km WSW of Amatignak Island, Alaska",earthquake,8.5,4.2,0.046,143,reviewed,us,us
2020-01-30T06:01:17.370Z,19.1081,-67.966,8,3.53,md,12,326,0.8722,0.39,pr,pr2020030001,2020-01-30T07:24:07.415Z,"83km NE of Punta Cana, Dominican Republic",earthquake,17.45,24.88,0.35,4,reviewed,pr,pr
2020-01-30T05:55:13.930Z,19.2106667,-155.45784,35.12,2.17,md,54,109,0.05402,0.09,hv,hv71358407,2020-01-30T05:58:27.520Z,"2km ENE of Pahala, Hawaii",earthquake,0.51,0.71,0.15,35,automatic,hv,hv
2020-01-30T05:48:20.910Z,38.8154984,-122.7833328,1.59,0.55,md,10,59,0.003046,0.01,nc,nc73333561,2020-01-30T07:24:02.661Z,"5km NNW of The Geysers, CA",earthquake,0.39,0.76,,1,automatic,nc,nc
2020-01-30T05:43:57.080Z,35.1817,27.8687,10,4.2,mb,,116,0.683,0.83,us,us60007jt4,2020-01-30T06:17:48.040Z,"69km ESE of Karpathos, Greece",earthquake,5.2,1.9,0.094,32,reviewed,us,us
2020-01-30T05:31:12.390Z,37.8463,-115.155,5.8,1.5,ml,18,116.67,0.463,0.23,nn,nn00716205,2020-01-30T06:55:48.378Z,"53km N of Alamo, Nevada",earthquake,,20.5,,,automatic,nn,nn
2020-01-30T05:24:22.750Z,35.8291667,-117.6598333,5,1.43,ml,23,54,0.05239,0.16,ci,ci39286504,2020-01-30T05:35:01.680Z,"23km N of Ridgecrest, CA",earthquake,0.21,0.44,0.162,23,automatic,ci,ci
2020-01-30T05:14:12.910Z,35.6825,-117.4753333,2.53,0.95,ml,10,167,0.166,0.19,ci,ci39286496,2020-01-30T05:17:39.608Z,"11km SW of Searles Valley, CA",earthquake,0.81,2.7,0.149,12,automatic,ci,ci
2020-01-30T05:13:15.070Z,35.969,-117.3873333,-0.08,1.65,ml,22,71,0.1149,0.14,ci,ci39286488,2020-01-30T05:17:22.152Z,"22km N of Searles Valley, CA",earthquake,0.27,31.61,0.131,24,automatic,ci,ci
2020-01-30T05:12:04.183Z,35.2455,27.8993,10,4,mb,,149,0.674,1.39,us,us60007jsh,2020-01-30T06:00:45.040Z,"68km ESE of Karpathos, Greece",earthquake,6.8,2,0.126,17,reviewed,us,us
2020-01-30T05:01:07.710Z,36.0951667,-117.8315,1.27,1.63,ml,20,89,0.02929,0.14,ci,ci39286480,2020-01-30T05:11:52.370Z,"12km ENE of Coso Junction, CA",earthquake,0.24,0.3,0.191,24,automatic,ci,ci
2020-01-30T04:59:48.670Z,17.9201,-66.8791,10,3.97,md,18,218,0.055,0.19,pr,pr2020030000,2020-01-30T13:08:54.679Z,"18km SSE of Guanica, Puerto Rico",earthquake,0.91,0.62,0.1,7,reviewed,pr,pr
2020-01-30T04:54:40.055Z,36.4278717,-99.13602448,2.013118029,1.48,ml,8,257.9827728,0.10318584,1.174403329,ok,ok2020cbji,2020-01-30T04:55:42.284Z,"6km ESE of Mooreland, Oklahoma",earthquake,12.75538356,5.364115735,,6,automatic,ok,ok
2020-01-30T04:54:32.520Z,47.5461666666667,-123.537666666667,30.15,1.63,ml,12,77,,0.34,uw,uw61571421,2020-01-30T05:16:16.930Z,"24km ENE of Quinault Census Designated Place, Washington",earthquake,0.94,2.01,0.0599227140542635,4,reviewed,uw,uw
2020-01-30T04:49:32.160Z,19.2040005,-155.4236603,33.71,1.93,md,50,144,0.04149,0.11,hv,hv71358367,2020-01-30T04:52:37.660Z,"5km E of Pahala, Hawaii",earthquake,0.68,0.91,0.09,12,automatic,hv,hv
2020-01-30T04:38:54.300Z,19.1924992,-155.4146729,32.81,1.8,md,33,168,0.04762,0.11,hv,hv71358352,2020-01-30T04:41:55.710Z,"7km ESE of Pahala, Hawaii",earthquake,0.63,0.77,0.21,6,automatic,hv,hv
2020-01-30T04:38:45.170Z,33.7948333,-116.0998333,5.61,1.39,ml,29,94,0.1014,0.26,ci,ci39286464,2020-01-30T04:42:31.371Z,"14km NE of Indio, CA",earthquake,0.46,2.2,0.128,27,automatic,ci,ci
2020-01-30T04:37:57.290Z,60.9135,-151.5329,70.8,1.9,ml,,,,0.42,ak,ak0201doq75r,2020-01-30T04:42:25.739Z,"28km NNW of Nikiski, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-01-30T04:02:30.890Z,34.0025,-116.6791667,16.59,1.82,ml,67,39,0.04431,0.17,ci,ci39286456,2020-01-30T12:04:56.496Z,"10km WSW of Morongo Valley, CA",earthquake,0.18,0.47,0.126,24,automatic,ci,ci
2020-01-30T03:42:16.377Z,64.7808,-150.8291,23,2.1,ml,,,,1.06,ak,ak0201do5qqd,2020-01-30T03:55:14.545Z,"26km SSW of Manley Hot Springs, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-30T03:31:16.629Z,60.6808,-151.7277,62.4,2.1,ml,,,,0.69,ak,ak0201do3e5g,2020-01-30T03:43:18.317Z,"24km W of Nikiski, Alaska",earthquake,,0.8,,,automatic,ak,ak
2020-01-30T03:21:07.700Z,34.1473333,-118.4641667,4.07,1.46,ml,23,71,0.04174,0.18,ci,ci39286448,2020-01-30T03:24:47.857Z,"2km WSW of Sherman Oaks, CA",earthquake,0.33,0.78,0.17,29,automatic,ci,ci
2020-01-30T03:18:09.670Z,36.8437,-116.1178,3.5,0.1,ml,7,223.56,0.093,0.22,nn,nn00716201,2020-01-30T05:02:26.205Z,"57km E of Beatty, Nevada",earthquake,,12.6,,,automatic,nn,nn
2020-01-30T03:03:21.780Z,35.0936667,-116.9668333,1.64,2.19,ml,25,53,0.2192,0.12,ci,ci39286440,2020-01-30T03:14:23.190Z,"22km NNE of Barstow, CA",earthquake,0.19,1.09,0.183,25,automatic,ci,ci
2020-01-30T02:50:30.302Z,61.317,-149.3892,33.1,2.2,ml,,,,0.91,ak,ak0201dnm24a,2020-01-30T02:53:53.996Z,"24km SSE of Knik-Fairview, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-01-30T02:31:24.680Z,38.8139992,-122.7931671,3.19,0.37,md,11,69,0.006249,0.01,nc,nc73333506,2020-01-30T03:42:03.325Z,"5km NW of The Geysers, CA",earthquake,0.39,1.32,0.22,2,automatic,nc,nc
2020-01-30T02:24:54.510Z,35.8568333,-117.6701667,9.3,0.91,ml,12,114,0.07188,0.08,ci,ci39286424,2020-01-30T02:28:43.178Z,"23km ESE of Little Lake, CA",earthquake,0.3,0.75,0.085,8,automatic,ci,ci
2020-01-30T02:24:09.750Z,35.8586667,-117.6776667,8.49,0.95,ml,14,110,0.07795,0.11,ci,ci39286416,2020-01-30T02:27:56.911Z,"22km ESE of Little Lake, CA",earthquake,0.29,0.82,0.149,11,automatic,ci,ci
2020-01-30T02:17:38.578Z,57.2811,-157.0054,0,3.5,ml,,,,0.66,ak,ak0201dnf05m,2020-01-30T02:28:57.493Z,"156km NE of Chignik Lake, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-30T02:14:55.560Z,38.8330002,-122.8183365,1.67,1.13,md,15,86,0.01156,0.02,nc,nc73333501,2020-01-30T03:16:03.183Z,"8km NW of The Geysers, CA",earthquake,0.28,0.59,,1,automatic,nc,nc
2020-01-30T02:10:54.284Z,35.0941,27.8949,10,4.1,mb,,112,0.751,1.07,us,us60007jq1,2020-01-30T02:58:42.040Z,"77km SE of Karpathos, Greece",earthquake,4.8,1.9,0.107,24,reviewed,us,us
2020-01-30T02:07:49.955Z,63.351,-149.8687,31.7,2.2,ml,,,,1.18,ak,ak0201dncv9d,2020-01-30T02:14:19.696Z,"46km W of Cantwell, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-01-30T01:51:40.670Z,35.8571667,-117.6866667,4.78,0.74,ml,8,101,0.07995,0.16,ci,ci39286400,2020-01-30T01:55:14.806Z,"22km ESE of Little Lake, CA",earthquake,0.42,0.9,0.117,5,automatic,ci,ci
2020-01-30T01:46:24.851Z,35.3295,27.9633,10,4.2,mb,,120,0.69,1.07,us,us60007jpp,2020-01-30T01:59:42.040Z,"70km ESE of Karpathos, Greece",earthquake,5.8,1.9,0.113,22,reviewed,us,us
